Lat,Long,Data,Cliente,Fazenda,Talhão,Gleba,Cultura,Variedade,Data de plantio,Data de colheita,Acúmulo de chuva (mm),Média de produção Kg/Ha (Balança),Kg/Ha
-19.39548087,-47.39259773,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8754,10/10/2024,03/03/2025,870,3,3.857885
-19.39944252,-47.39351225,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8755,10/10/2024,03/03/2025,870,3,3.857924
-19.39758393,-47.3906298,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8756,10/10/2024,03/03/2025,870,3,3.8582494
-19.40431573,-47.38692101,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8757,10/10/2024,03/03/2025,870,3,3.858513
-19.39630354,-47.39184836,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8758,10/10/2024,03/03/2025,870,3,3.8587327
-19.4016246,-47.39240205,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8759,10/10/2024,03/03/2025,870,3,3.8590996
-19.40393955,-47.38805767,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8760,10/10/2024,03/03/2025,870,3,3.8593826
-19.40310688,-47.38956837,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8761,10/10/2024,03/03/2025,870,3,3.8594263
-19.40453781,-47.39063626,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8762,10/10/2024,03/03/2025,870,3,3.8596685
-19.39464426,-47.38754129,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8763,10/10/2024,03/03/2025,870,3,3.8597062
-19.40338026,-47.38938201,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8764,10/10/2024,03/03/2025,870,3,3.8597977
-19.40144276,-47.39249457,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8765,10/10/2024,03/03/2025,870,3,3.8602269
-19.39649996,-47.3846308,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8766,10/10/2024,03/03/2025,870,3,3.860629
-19.39776452,-47.39063244,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8767,10/10/2024,03/03/2025,870,3,3.8607109
-19.39727424,-47.38490795,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8768,10/10/2024,03/03/2025,870,3,3.8609056
-19.40128946,-47.38354562,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8769,10/10/2024,03/03/2025,870,3,3.86111
-19.40270312,-47.39279854,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8770,10/10/2024,03/03/2025,870,3,3.8611147
-19.40333266,-47.39299811,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8771,10/10/2024,03/03/2025,870,3,3.8611574
-19.40238328,-47.38965298,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8772,10/10/2024,03/03/2025,870,3,3.8612082
-19.39975349,-47.39047115,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8773,10/10/2024,03/03/2025,870,3,3.8614914
-19.39509698,-47.38745272,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8774,10/10/2024,03/03/2025,870,3,3.8617065
-19.39556741,-47.39288452,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8775,10/10/2024,03/03/2025,870,3,3.8617508
-19.39795887,-47.38958835,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8776,10/10/2024,03/03/2025,870,3,3.8619897
-19.40199831,-47.39145574,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8777,10/10/2024,03/03/2025,870,3,3.8620899
-19.39619445,-47.39327438,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8778,10/10/2024,03/03/2025,870,3,3.8621075
-19.40147005,-47.38354825,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8779,10/10/2024,03/03/2025,870,3,3.862724
-19.39733537,-47.3840974,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8780,10/10/2024,03/03/2025,870,3,3.8628197
-19.39710115,-47.39300212,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8781,10/10/2024,03/03/2025,870,3,3.8634367
-19.40128821,-47.38364078,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8782,10/10/2024,03/03/2025,870,3,3.8642356
-19.40191052,-47.3912641,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8783,10/10/2024,03/03/2025,870,3,3.864351
-19.40391452,-47.38996089,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8784,10/10/2024,03/03/2025,870,3,3.8643808
-19.40403109,-47.38796383,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8785,10/10/2024,03/03/2025,870,3,3.8644938
