Lat,Long,Data,Cliente,Fazenda,Talhão,Gleba,Cultura,Variedade,Data de plantio,Data de colheita,Acúmulo de chuva (mm),Média de produção Kg/Ha (Balança),Kg/Ha
-19.40139755,-47.38906751,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_267,10/10/2024,03/03/2025,870,3,1.4762883
-19.39797014,-47.38873193,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_268,10/10/2024,03/03/2025,870,3,1.4773109
-19.39705988,-47.38606321,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_269,10/10/2024,03/03/2025,870,3,1.4776157
-19.39825728,-47.38749884,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_270,10/10/2024,03/03/2025,870,3,1.479583
-19.40139004,-47.38963847,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_271,10/10/2024,03/03/2025,870,3,1.4837667
-19.39733836,-47.38588541,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_272,10/10/2024,03/03/2025,870,3,1.4866846
-19.39752867,-47.38796408,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_273,10/10/2024,03/03/2025,870,3,1.4874609
-19.3988766,-47.38601427,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_274,10/10/2024,03/03/2025,870,3,1.4942908
-19.39665101,-47.38586136,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_275,10/10/2024,03/03/2025,870,3,1.4976778
-19.40148785,-47.38906883,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_276,10/10/2024,03/03/2025,870,3,1.5052495
-19.40112667,-47.38906356,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_277,10/10/2024,03/03/2025,870,3,1.5057043
-19.39684771,-47.38564319,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_278,10/10/2024,03/03/2025,870,3,1.5099542
-19.39679756,-47.38861963,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_279,10/10/2024,03/03/2025,870,3,1.5106025
-19.3986047,-47.38855084,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_280,10/10/2024,03/03/2025,870,3,1.5131842
-19.39983352,-47.384381,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_281,10/10/2024,03/03/2025,870,3,1.5137186
-19.39653609,-47.38611989,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_282,10/10/2024,03/03/2025,870,3,1.5160729
-19.39670727,-47.38861832,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_283,10/10/2024,03/03/2025,870,3,1.51616
-19.39645947,-47.38629225,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_284,10/10/2024,03/03/2025,870,3,1.5189538
-19.40493528,-47.38788185,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_285,10/10/2024,03/03/2025,870,3,1.5217834
-19.39599681,-47.3855384,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_286,10/10/2024,03/03/2025,870,3,1.522215
-19.39974197,-47.38447484,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_287,10/10/2024,03/03/2025,870,3,1.5243304
-19.39889059,-47.3874129,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_288,10/10/2024,03/03/2025,870,3,1.5300475
-19.39790562,-47.38595528,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_289,10/10/2024,03/03/2025,870,3,1.5303652
-19.3985094,-47.38893016,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_290,10/10/2024,03/03/2025,870,3,1.5367808
-19.39971073,-47.38685381,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_291,10/10/2024,03/03/2025,870,3,1.5380388
-19.39709303,-47.3857643,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_292,10/10/2024,03/03/2025,870,3,1.5389743
-19.39992256,-47.38447747,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_293,10/10/2024,03/03/2025,870,3,1.5396895
-19.3963777,-47.38625188,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_294,10/10/2024,03/03/2025,870,3,1.5399867
-19.39640568,-47.38574025,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_295,10/10/2024,03/03/2025,870,3,1.541239
-19.39593051,-47.38613621,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_296,10/10/2024,03/03/2025,870,3,1.5414761
-19.40001535,-47.38428847,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_297,10/10/2024,03/03/2025,870,3,1.5433288
-19.39961919,-47.38694765,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_298,10/10/2024,03/03/2025,870,3,1.5454756
